# type   point.x   point.y   rect.x   rect.y   rect.w   rect.h
0 3800 800 0 0 144 52 
1 4300 800 0 0 144 52 
2 4800 800 0 0 144 52 
3 5300 800 0 0 144 52 
4 3400 700 0 0 64 64
4 5000 900 0 0 64 64
4 6200 700 0 0 64 64
4 7500 800 0 0 64 64
4 -5000 5100 0 0 64 64
4 -5000 5200 0 0 64 64
4 -5000 5300 0 0 64 64
4 -5000 5400 0 0 64 64
4 -5000 5500 0 0 64 64
4 -5000 5600 0 0 64 64
4 -5000 5700 0 0 64 64
4 -5000 5800 0 0 64 64
5 -80000 162 565 74 6851 430
6 -80000 162 565 74 6851 430
7 -80000 162 565 74 6851 430
9 4090 600 0 0 256 100
10 7300 650 5000 650 256 100
11 90000 500 565 74 6851 430 
12 -25000 400 0 0 1179 1170
13 4500 700 0 0 64 64
13 -5100 5200 0 0 64 64
13 -5100 5300 0 0 64 64
13 -5100 5400 0 0 64 64
14 4000 -200 0 0 240 32
15 3410 0 3410 750 180 130
16 5780 0 5780 750 180 130
17 5850 634 0 800 110 20
18 2000 770 0 48 288 96
18 2290 770 0 48 288 96
18 2910 770 0 48 288 96
18 5000 770 0 48 288 96
18 6300 770 0 48 288 96
18 6590 770 0 48 288 96
18 3800 770 0 48 288 96
